dataset,method,cost_fn,best_k_chosen_on_calibration,point_eval_FN,uncertainty_eval_FN,fn_reduction_percent,point_eval_total_cost,uncertainty_eval_total_cost,cost_reduction_percent
FD001,rf_tree_std,2,0.05,61.0,57.0,6.557377049180328,166.0,161.0,3.0120481927710845
FD001,rf_tree_std,5,0.65,61.0,26.0,57.377049180327866,349.0,255.0,26.93409742120344
FD001,rf_tree_std,10,1.05,61.0,9.0,85.24590163934427,654.0,320.0,51.07033639143731
FD001,rf_tree_std,20,1.05,61.0,9.0,85.24590163934427,1264.0,410.0,67.5632911392405
FD001,rf_tree_std,50,1.35,61.0,2.0,96.72131147540983,3094.0,494.0,84.03361344537815
FD001,rf_tree_std,100,1.35,61.0,2.0,96.72131147540983,6144.0,594.0,90.33203125
FD002,rf_tree_std,2,0.75,618.0,290.0,53.07443365695793,1349.0,1097.0,18.680504077094145
FD002,rf_tree_std,5,1.0,618.0,177.0,71.35922330097087,3203.0,1738.0,45.7383702778645
FD002,rf_tree_std,10,1.25,618.0,107.0,82.68608414239482,6293.0,2367.0,62.38677896075004
FD002,rf_tree_std,20,1.55,618.0,53.0,91.42394822006472,12473.0,2985.0,76.06830754429568
FD002,rf_tree_std,50,1.8,618.0,35.0,94.33656957928802,31013.0,4337.0,86.01554186953858
FD002,rf_tree_std,100,2.2,618.0,16.0,97.41100323624596,61913.0,5282.0,91.46867378418102
FD003,rf_tree_std,2,0.4,80.0,48.0,40.0,197.0,171.0,13.197969543147208
FD003,rf_tree_std,5,1.15,80.0,18.0,77.5,437.0,297.0,32.036613272311214
FD003,rf_tree_std,10,1.35,80.0,14.0,82.5,837.0,417.0,50.17921146953405
FD003,rf_tree_std,20,1.45,80.0,9.0,88.75,1637.0,495.0,69.76175931582162
FD003,rf_tree_std,50,1.75,80.0,5.0,93.75,4037.0,703.0,82.58607877136488
FD003,rf_tree_std,100,1.75,80.0,5.0,93.75,8037.0,953.0,88.14234166977728
FD004,rf_tree_std,2,0.7,634.0,321.0,49.36908517350157,1352.0,1062.0,21.44970414201184
FD004,rf_tree_std,5,0.9,634.0,256.0,59.62145110410095,3254.0,1876.0,42.34787953288261
FD004,rf_tree_std,10,1.3,634.0,160.0,74.76340694006309,6424.0,2732.0,57.4719800747198
FD004,rf_tree_std,20,1.55,634.0,114.0,82.01892744479495,12764.0,3901.0,69.43748041366342
FD004,rf_tree_std,50,2.0,634.0,55.0,91.32492113564668,31784.0,5519.0,82.63591744273849
FD004,rf_tree_std,100,2.0,634.0,55.0,91.32492113564668,63484.0,8269.0,86.97467078318947
FD001,bootstrap_gbr,2,0.4,68.0,56.0,17.647058823529413,183.0,171.0,6.557377049180328
FD001,bootstrap_gbr,5,1.5,68.0,38.0,44.11764705882353,387.0,278.0,28.165374677002585
FD001,bootstrap_gbr,10,2.2,68.0,28.0,58.8235294117647,727.0,398.0,45.2544704264099
FD001,bootstrap_gbr,20,2.6,68.0,21.0,69.11764705882354,1407.0,573.0,59.27505330490405
FD001,bootstrap_gbr,50,3.6,68.0,13.0,80.88235294117646,3447.0,899.0,73.91935015955903
FD001,bootstrap_gbr,100,3.6,68.0,13.0,80.88235294117646,6847.0,1549.0,77.37695341025267
FD002,bootstrap_gbr,2,5.95,895.0,604.0,32.513966480446925,1861.0,1601.0,13.970983342289092
FD002,bootstrap_gbr,5,5.95,895.0,604.0,32.513966480446925,4546.0,3413.0,24.92300923889133
FD002,bootstrap_gbr,10,6.0,895.0,603.0,32.625698324022345,9021.0,6430.0,28.721871189446848
FD002,bootstrap_gbr,20,6.0,895.0,603.0,32.625698324022345,17971.0,12460.0,30.666073117800902
FD002,bootstrap_gbr,50,6.0,895.0,603.0,32.625698324022345,44821.0,30550.0,31.839985720979005
FD002,bootstrap_gbr,100,6.0,895.0,603.0,32.625698324022345,89571.0,60700.0,32.23253061816883
FD003,bootstrap_gbr,2,0.25,73.0,59.0,19.17808219178082,207.0,186.0,10.144927536231885
FD003,bootstrap_gbr,5,1.85,73.0,25.0,65.75342465753425,426.0,285.0,33.098591549295776
FD003,bootstrap_gbr,10,3.3,73.0,15.0,79.45205479452055,791.0,468.0,40.83438685208597
FD003,bootstrap_gbr,20,3.65,73.0,11.0,84.93150684931507,1521.0,582.0,61.73570019723866
FD003,bootstrap_gbr,50,5.4,73.0,2.0,97.26027397260276,3711.0,745.0,79.92454863918081
FD003,bootstrap_gbr,100,5.4,73.0,2.0,97.26027397260276,7361.0,845.0,88.52058144273876
FD004,bootstrap_gbr,2,5.85,882.0,540.0,38.775510204081634,1810.0,1495.0,17.403314917127073
FD004,bootstrap_gbr,5,6.0,882.0,530.0,39.909297052154194,4456.0,3086.0,30.745062836624776
FD004,bootstrap_gbr,10,6.0,882.0,530.0,39.909297052154194,8866.0,5736.0,35.303406271148205
FD004,bootstrap_gbr,20,6.0,882.0,530.0,39.909297052154194,17686.0,11036.0,37.6003618681443
FD004,bootstrap_gbr,50,6.0,882.0,530.0,39.909297052154194,44146.0,26936.0,38.984279436415534
FD004,bootstrap_gbr,100,6.0,882.0,530.0,39.909297052154194,88246.0,53436.0,39.44654715227885
